ID (do not edit),Content type,Element type,Source language (GL),Target language (ES)
"{""contentId"":""73912842-4f8b-40e5-b0c8-7184c5cf13ee"",""fieldId"":""collection.name"",""sequencePath"":[]}",TEXT,collection,Paisaxes,Paisajes
"{""contentId"":""59854b27-b27c-42ee-b720-eb464d81eea0"",""fieldId"":""menu"",""sequencePath"":[]}",TEXT,document.api.MenuService.Menu,<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Perfil</label><items/></items><items><label>Os meus pedidos</label><items/></items><items><label>Os meus enderezos</label><items/></items><items><label>A miña carteira</label><items/></items><items><label>As miñas subscricións</label><items/></items><items><label>A miña conta</label><items/></items><items><label>Opcións</label><items/></items><items><label>Notificacións</label><items/></items></items></menu>,```xml<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Perfil</label><items/></items><items><label>Mis pedidos</label><items/></items><items><label>Mis direcciones</label><items/></items><items><label>Mi cartera</label><items/></items><items><label>Mis suscripciones</label><items/></items><items><label>Mi cuenta</label><items/></items><items><label>Opciones</label><items/></items><items><label>Notificaciones</label><items/></items></items></menu>```
"{""contentId"":""1e5c8086-48fa-4dcb-8b12-4a08a1d90426"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Pack Cadro de Marilyn Monroe + Totebag,Pack Cuadro de Marilyn Monroe + Totebag
"{""contentId"":""1e5c8086-48fa-4dcb-8b12-4a08a1d90426"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Non perdas esta oportunidade única! Descubre a fusión perfecta entre<strong> arte</strong> e <strong>funcionalidade</strong> co noso exclusivo pack (cadro + totebag), inspirado en Marilyn Monroe. Unha combinación perfecta para os amantes do cine clásico e a moda, converténdose nun elemento ideal tanto para darlle un toque vingtage ó teu fogar como para levar de complemento no día a día. Esta colección está pensada para ti que buscas singularidade, diferenciación e estilo en cada un dos nosos produtos.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Aproveita para levar un recordo desta muller tan valente que loitou contra os estereotipos do Hollywood dos anos 50. Neste pack incluímos:</span></span></span></span></p><ul>	<li><span><strong>Cadro</strong> do retrato artístico de Marilyn Monroe, confeccionado con fío por Xogo de Fíos. Unha imaxe en branco e negro que pon énfase na súa esencia glamurosa e que agora xa pode decorar o teu fogar, con ese toque de elegancia e sofisticación que tanto caracterizou a artista americana.</span></li>	<li><strong><span>Totebag</span></strong><span> de algodón da reprodución do cadro orixinal de Marilyn Monroe. Resulta un complemento perfecto para levar no teu día a día: funcional, resistente e cómoda cunha clara mensaxe de inspiración que te acompañará alá onde vaias. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>En Xogo de Fíos quixemos facer tributo á actriz americana que marcou os corazóns do mundo enteiro. Por iso, os nosos produtos non só ofrecen calidade e atención o detalle, senón que tamén pomos énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente. Sénteste identificada con Marilyn? Pois ben... este pack de cadro + bolsa non te deixará indiferente!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Material do cadro</span></strong><span>: fío de finca (algodón 100%), cinta de dobre cara, base de cartolina veige, enmarcado con cristal e tablilla, inclúe colgadoiro.</span></li>	<li><strong><span>Material da totebag</span></strong><span>: bolsa de algodón de calidade, con tela resistente e duradeira.</span></li>	<li><strong><span>Dimensións</span></strong><span>: o cadro é de 21X29,7cm e a bolsa é de 40x35cm, con asa de 30cm.</span></li>	<li><strong><span>Deseño</span></strong><span>: retrato confeccionado en fío + impresión do mesmo.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidade</span></strong><span>: neste pack combinamos arte, elegancia e funcionalidade.</span></li>	<li><strong><span>Distinción</span></strong><span>: ideal para quen valora a arte e obtén unha peza con significado.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico</strong>: atendemos minuciosamente cada detalle do proceso, cada cadro e bolsa son un reflexo da creatividade que caracteriza a Xogo de Fíos.</span></li>	<li><strong><span>Sustentable</span></strong><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><span>Perfecto como<strong> agasallo</strong> significativo para amantes da arte e a cultura.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 59€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Se o produto chega defectuoso, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo da devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Non deixes pasar a oportunidade e consegue este fantástico pack de Marilyn Monroe!</span></span></span></span></p><p>&nbsp;</p>","<p><span><span><span><span>Non perdas esta oportunidade única! Descubre la fusión perfecta entre<strong> arte</strong> y <strong>funcionalidad</strong> con nuestro exclusivo pack (cuadro + totebag), inspirado en Marilyn Monroe. Una combinación perfecta para los amantes del cine clásico y la moda, convirtiéndose en un elemento ideal tanto para darle un toque vinge al tener hogar como para llevar de complemento en el día a día. Esta colección está pensada para ti que buscas singularidad, diferenciación y estilo en cada uno de nuestros productos.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Aprovecha para llevar un recuerdo de esta mujer tan valiente que luchó contra los estereotipos del Hollywood de los años 50. En este pack incluimos:</span></span></span></span></p><ul>	<li><span><strong>Cuadro</strong> del retrato artístico de Marilyn Monroe, confeccionado con hilo por Juego de Fíos. Una imagen en blanco y negro que pone énfasis en su esencia glamurosa y que ahora ya puede decorar el tenu hogar, con ese toque de elegancia y sofisticación que tanto caracterizó la artista americana.</span></li>	<li><strong><span>Totebag</span></strong><span> de algodón de la reproducción del cuadro original de Marilyn Monroe. Resulta un plus perfecto para llevar en el tiempo a día: funcional, resistente y cómoda con un clara mensaje de inspiración que te acompañará allá donde vayas. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>En Juego de Fíos quisimos hacer tributo a la actriz americana que marcó los corazones del mundo entero. Por ello, nuestros productos no sólo ofrecen calidad y atención el detalle, sino que también pomos énfasis en los valores transversales de igualdad, inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente. Sénteste identificada con Marilyn? Pues bien... este pack de cuadro + bolsa non te deixará indiferente!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Material de la cuadro</span></strong><span>: fío de finca (algodón 100%), cinta de doble cara, base de cartolina veige, enmarcado con cristal y tablilla, incluye colgadero.</span></li>	<li><strong><span>Material de la totebag</span></strong><span>: beca de algodón de calidad, con tenerla resistente y duradera.</span></li>	<li><strong><span>Dimensiones</span></strong><span>: el cuadro es de 21X29,7cm y la beca es de 40x35cm, con asa de 30cm.</span></li>	<li><strong><span>Diseño</span></strong><span>: retrato confeccionado en fío + impresión del mismo.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidad</span></strong><span>: en este pack combinamos arte, elegancia y funcionalidad.</span></li>	<li><strong><span>Distinción</span></strong><span>: ideal para quien valora el arte y obtiene una pieza con significado.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico</strong>: atendemos minuciosamente cada detalle del proceso, cada cuadro y beca son un reflejo de la creatividad que caracteriza a Juego de Fíos.</span></li>	<li><strong><span>Sostenible</span></strong><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li>	<li><span>Perfecto como<strong> agasallo</strong> significativo para amantes del arte y la cultura.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 59€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Si el producto llega defectuoso, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Juego de Fíos el coste de la devolución.</span></li>	<li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores la recepción del mismo, asumiendo el cliente dicho coste. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>No dejes pasar la oportunidad y consigue este fantástico pack de Marilyn Monroe!</span></span></span></span></p><p>&nbsp;</p>"
"{""contentId"":""1e5c8086-48fa-4dcb-8b12-4a08a1d90426"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Pack Cadro e Bolsa Marilyn Monroe. Cadro e bolsa da actriz Marilyn Monroe.,Pack Cuadro y Bolsa Marilyn Monroe. Cuadro y belleza de la actriz Marilyn Monroe.
"{""contentId"":""ef7771f3-1e0f-4ca8-b985-f681418a4d5e"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Galiña Rural sobre prato de madeira natural,Gallina Rural sobre plato de madera natural
"{""contentId"":""ef7771f3-1e0f-4ca8-b985-f681418a4d5e"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Descubre este simpático deseño da galiña rural que combina arte e tradición galegas, confeccionado artesanalmentepor Xogo de Fíos. Trátase dun proceso de creación realmente singular, no que tan só intervén a habilidade manual e o tacto que posúe Lorena para dar maxia a cada deseño. Esta técnica artesanal de fiado basease na creatividade e a diferenciación do produto; sempre con énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Esta peza artesanal única, captura a esencia do rural para transformala en arte, converténdoa así mesmo en símbolo do empoderamento feminino. Resulta perfecta para decorar calquera espazo cun toque rústico pero con carácter. Por iso, en Xogo de Fíos pretendemos dar vida, a través das nosas fiadas, á beleza do entorno rural. Unha obra confeccionada con moito agarimo e dedicación para crear conexión cos vosos corazóns. A base de madeira natural aporta autenticidade e resalta a confección artesanal que hai detrás desta obra. Asemade, aproveitamos para introducir un chisco de ironía, xa que esta galiña coas presas do rural esqueceu quitar os patíns!!!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><span>Materiais</span><span>: fío de finca (algodón 100%), cinta de dobre cara, prato de madeira natural, cola branca de madeira, verniz mate ecolóxico en aerosol e colgadoiro.</span></li>	<li><span>Deseño</span><span>: galiña rural confeccionada con fío sobre base de madeira natural.</span></li>	<li><span>Dimensións</span><span>: 30cm diámetro e 2cm grosor.</span></li>	<li><span>Bases: polo formato do deseño empregamos madeira, pero no caso que prefiras outras bases (cadro ou tablilla) recoméndase contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>O TEU GUSTO: en Xogo de Fíos creemos na individualidade, na singularidade e na creatividade; por iso tes opción de personalizar (deseño, cor, tamaño, base, nome...) para que se adapte perfectamente o teu estilo. Contáctanos para converter a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><span>Singularidade</span><span>: peza decorativa que combina arte, tradición e cultura.</span></li>	<li><span>Distinción</span><span>: a elegancia e sentimento que transmite esta obra é innegable, pero o verdadeiro valor engadido do produto radica na confección a través do tacto.</span></li>	<li><span>Proceso</span><span> manual: trátase dunha obra confeccionada totalmente a man, sen que medie ningún tipo de maquinaria. O tacto é o instrumento de traballo.</span></li>	<li><span>Referente</span><span> artístico: atendemos minuciosamente cada detalle do proceso, sendo conscientes da dedicación que implica esta técnica e ofrecemos a opción de personalizar sempre que sexa posible.</span></li>	<li><span>Sustentable</span><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><span>Ideal</span><span> como agasallo para amantes da cultura e a arte rústica. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 30€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p>","<p><span><span><span><span>Descubre este simpático diseño de la gallina rural que combina arte y tradición gallegas, confeccionado artesanalmente por Xogo de Fíos. Se trata de un proceso de creación realmente singular, en el que solo interviene la habilidad manual y el tacto que posee Lorena para dar magia a cada diseño. Esta técnica artesanal de hilado se basa en la creatividad y la diferenciación del producto; siempre con énfasis en los valores transversales de igualdad, inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Esta pieza artesanal única, captura la esencia del rural para transformarla en arte, convirtiéndola así mismo en símbolo del empoderamiento femenino. Resulta perfecta para decorar cualquier espacio con un toque rústico pero con carácter. Por eso, en Xogo de Fíos pretendemos dar vida, a través de nuestros hilados, a la belleza del entorno rural. Una obra confeccionada con mucho cariño y dedicación para crear conexión con vuestros corazones. La base de madera natural aporta autenticidad y resalta la confección artesanal que hay detrás de esta obra. Asimismo, aprovechamos para introducir un toque de ironía, ¡ya que esta gallina con las prisas del rural olvidó quitarse los patines!!!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><span>Materiales</span><span>: hilo de finca (algodón 100%), cinta de doble cara, plato de madera natural, cola blanca de madera, barniz mate ecológico en aerosol y colgador.</span></li>	<li><span>Diseño</span><span>: gallina rural confeccionada con hilo sobre base de madera natural.</span></li>	<li><span>Dimensiones</span><span>: 30cm diámetro y 2cm grosor.</span></li>	<li><span>Bases: por el formato del diseño usamos madera, pero en caso de que prefieras otras bases (cuadro o tablilla) se recomienda contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>TU GUSTO: en Xogo de Fíos creemos en la individualidad, en la singularidad y en la creatividad; por eso tienes opción de personalizar (diseño, color, tamaño, base, nombre...) para que se adapte perfectamente a tu estilo. ¡Contáctanos para convertir tu idea en realidad! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><span>Singularidad</span><span>: pieza decorativa que combina arte, tradición y cultura.</span></li>	<li><span>Distinción</span><span>: la elegancia y sentimiento que transmite esta obra es innegable, pero el verdadero valor añadido del producto radica en la confección a través del tacto.</span></li>	<li><span>Proceso</span><span> manual: se trata de una obra confeccionada totalmente a mano, sin que medie ningún tipo de maquinaria. El tacto es el instrumento de trabajo.</span></li>	<li><span>Referente</span><span> artístico: atendemos minuciosamente cada detalle del proceso, siendo conscientes de la dedicación que implica esta técnica y ofrecemos la opción de personalizar siempre que sea posible.</span></li>	<li><span>Sostenible</span><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li>	<li><span>Ideal</span><span> como regalo para amantes de la cultura y el arte rústico. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 30€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p>"
"{""contentId"":""ef7771f3-1e0f-4ca8-b985-f681418a4d5e"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,"Descubre este simpático deseño da galiña rural que combina arte e tradición galegas, confeccionado artesanalmentepor Xogo de Fíos. Trátase dun proceso de creación realmente singular, no que tan só intervén a habilidade manual e o tacto que posúe Lorena para dar maxia a cada deseño.","<p>Descubre este simpático diseño de gallina rural que combina arte y tradición gallega, hecha a mano por Xogo de Fíos. Es un proceso de creación realmente único, en el que sólo interviene la habilidad manual y el tacto de Lorena para darle magia a cada diseño.</p>"
"{""contentId"":""09beb434-25c9-47e9-b41f-baf643f83f4e"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Cadro en fío de Celso Emilio Ferreiro,Cuadro en fío de Celso Emilio Ferreiro
"{""contentId"":""09beb434-25c9-47e9-b41f-baf643f83f4e"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Descubre a fusión perfecta entre arte, historia e cultura a través deste cadro artesanal do retrato de Celso Emilio Ferreiro, deseñado e confeccionado por Xogo de Fíos en tonalidades monocromáticas. Trátase dun proceso de creación realmente singular, no que tan só intervén a habilidade<strong> manual</strong> e o<strong> tacto</strong> que posúe Lorena para dar maxia a cada deseño. Esta <strong>técnica artesanal </strong>de fiado basease na creatividade e a diferenciación do produto; sempre con énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>En Xogo de Fíos queremos homenaxear a unha das figuras máis influentes da poesía social galega, a través desta xoia <strong>artesanal confeccionada con fío</strong>. Esta obra captura a forza e carácter do escritor celanovés, converténdose nunha auténtica reivindicación do seu compromiso coa xustiza social e a defensa da lingua galega. Xa pode ser túa esta peza única, confeccionada en tonalidades monocromáticas azuis para que resalte a personalidade do literato. De feito, esta obra foi expresamente deseñada para a exposición “Galicia en fíos”, que tivo lugar na casa-museo de Curros en Celanova.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Materiais</span></strong><span>: fío de finca (algodón 100%), cinta de dobre cara, cartolina branca, enmarcado con cristal e tablilla, inclúe colgadoiro.</span></li>	<li><strong><span>Deseño</span></strong><span><strong>:</strong> cadro do retrato de Celso Emilio Ferreiro confeccionado con fío monocromático.</span></li>	<li><strong><span>Dimensións</span></strong><span><strong>: </strong>21X29,7X1,5cm.</span></li>	<li><span><strong>Formato</strong>: cadro enmarcado con cristal e táboa, no caso de que prefiras outras bases (madeira ou camiseta) recoméndase contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>O TEU GUSTO: en Xogo de Fíos creemos na individualidade, na singularidade e na creatividade; por iso tes opción de personalizar (deseño, cor, tamaño, base, frase representativa, impresión téxtil...) para que se adapte perfectamente o teu estilo. Contáctanos para converter a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidade</span></strong><span>: peza decorativa que combina arte, historia e cultura galega.</span></li>	<li><strong><span>Distinción</span></strong><span><strong>:</strong> a beleza e elegancia desta obra é innegable, pero o verdadeiro valor engadido do produto radica na confección a través do tacto.</span></li>	<li><strong><span>Proceso</span></strong><span><strong> manual:</strong> trátase dunha obra confeccionada totalmente a man, sen que medie ningún tipo de maquinaria. O tacto é o instrumento de traballo.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico</strong>: atendemos minuciosamente cada detalle do proceso, sendo conscientes da dedicación que implica esta técnica e ofrecemos a opción de personalizar sempre que sexa posible.</span></li>	<li><strong><span>Sustentable</span></strong><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><strong><span>Perfecto</span></strong><span> para amantes da cultura galega ou mesmo como agasallo especial.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 49€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Debido a ruptura do produto ou mala calidade do mesmo, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo de dita devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada peza como unha obra única de arte inclusiva!</span></span></span></span></p>","<p><span><span><span><span>Descubre la fusión perfecta entre arte, historia y cultura a través de este cuadro artesanal del retrato de Celso Emilio Ferreiro, diseñado y confeccionado por Xogo de Fíos en tonalidades monocromáticas. Se trata de un proceso de creación realmente singular, en el que solo interviene la habilidad<strong> manual</strong> y el<strong> tacto</strong> que posee Lorena para dar magia a cada diseño. Esta <strong>técnica artesanal </strong>de hilado se basa en la creatividad y la diferenciación del producto; siempre con énfasis en los valores transversales de igualdad, inclusión de personas con discapacidad y la sostenibilidad con el medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>En Xogo de Fíos queremos homenajear a una de las figuras más influyentes de la poesía social gallega, a través de esta joya <strong>artesanal confeccionada con hilo</strong>. Esta obra captura la fuerza y carácter del escritor celanovés, convirtiéndose en una auténtica reivindicación de su compromiso con la justicia social y la defensa de la lengua gallega. Ya puede ser tuya esta pieza única, confeccionada en tonalidades monocromáticas azules para que resalte la personalidad del literato. De hecho, esta obra fue expresamente diseñada para la exposición “Galicia en fíos”, que tuvo lugar en la casa-museo de Curros en Celanova.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Materiales</span></strong><span>: hilo de finca (algodón 100%), cinta de doble cara, cartulina blanca, enmarcado con cristal y tablilla, incluye colgador.</span></li>	<li><strong><span>Diseño</span></strong><span><strong>:</strong> cuadro del retrato de Celso Emilio Ferreiro confeccionado con hilo monocromático.</span></li>	<li><strong><span>Dimensiones</span></strong><span><strong>: </strong>21X29,7X1,5cm.</span></li>	<li><span><strong>Formato</strong>: cuadro enmarcado con cristal y tabla, en caso de que prefieras otras bases (madera o camiseta) se recomienda contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>TU GUSTO: en Xogo de Fíos creemos en la individualidad, en la singularidad y en la creatividad; por eso tienes opción de personalizar (diseño, color, tamaño, base, frase representativa, impresión textil...) para que se adapte perfectamente a tu estilo. ¡Contáctanos para convertir tu idea en realidad! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidad</span></strong><span>: pieza decorativa que combina arte, historia y cultura gallega.</span></li>	<li><strong><span>Distinción</span></strong><span><strong>:</strong> la belleza y elegancia de esta obra es innegable, pero el verdadero valor añadido del producto radica en la confección a través del tacto.</span></li>	<li><strong><span>Proceso</span></strong><span><strong> manual:</strong> se trata de una obra confeccionada totalmente a mano, sin ningún tipo de maquinaria. El tacto es el instrumento de trabajo.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico</strong>: atendemos minuciosamente cada detalle del proceso, siendo conscientes de la dedicación que implica esta técnica y ofrecemos la opción de personalizar siempre que sea posible.</span></li>	<li><strong><span>Sustentable</span></strong><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li>	<li><strong><span>Perfecto</span></strong><span> para amantes de la cultura gallega o incluso como regalo especial.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 49€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Debido a rotura del producto o mala calidad del mismo, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Xogo de Fíos el costo de dicha devolución.</span></li>	<li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores a la recepción del mismo, asumiendo el cliente dicho costo.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>¡Valora cada pieza como una obra única de arte inclusiva!</span></span></span></span></p>"
"{""contentId"":""09beb434-25c9-47e9-b41f-baf643f83f4e"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Celso Emilio Ferreiro confeccionado artesanalmente con fío a través do tacto.,Celso Emilio Ferreiro confeccionado artesanalmente con hilo a través del tacto.
"{""contentId"":""e7d598d2-97ab-4f23-88ee-0005c953e925"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Pulpiño Gaiteiro sobre prato de madeira natural,Pulpiño Gaiteiro sobre plato de madera natural
